Actual Time, Return Status, Trade Time, Price 
1612772924.0010939,200,1612772923332,39193.26000000
1612772953.9017713,200,1612772953479,39220.06000000
1612772983.9053369,200,1612772983323,39200.62000000
1612773014.0122628,200,1612773013535,39218.90000000
1612773043.809938,200,1612773043385,39190.21000000
1612773073.8143106,200,1612773073535,39196.26000000
1612773103.920261,200,1612773103494,39215.71000000
1612773134.0358112,200,1612773133714,39221.44000000
1612773163.9278018,200,1612773163271,39248.69000000
1612773193.9367244,200,1612773193444,39248.48000000
1612773223.934841,200,1612773223602,39211.60000000
1612773253.9385846,200,1612773253661,39177.38000000
1612773283.8438196,200,1612773283624,39171.23000000
1612773313.8431394,200,1612773313640,39188.75000000
1612773343.9523158,200,1612773343593,39197.45000000
1612773373.9560556,200,1612773373655,39188.18000000
1612773403.8571463,200,1612773403630,39194.17000000
